"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.19000005722046","","","","","","","","","16.3999996185303","","","","","","","","","","32.0800018310547","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.69848728179932","9.79236030578613","","11.7771825790405","","","13.007438659668","9.46000003814697","12.5973300933838","","",
"Africa Western and Central","AFW","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3030033111572","","","15.8599996566772","17.4365100860596","","","","20.8411178588867","","22.049186706543","","","",
"Albania","ALB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0400009155273","","","","","","","39.8899993896484","","42.0615043640137","43.4900016784668","45.2799987792969","43.7557601928711","45.9827041625977","48.1863632202148","46.9845199584961","46.3533401489258","49.8858070373535","50.7128944396973","","51.8425102233887","53.2684860229492","","",
"Andorra","AND","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2999992370605","51.4500007629395","43.9099998474121","49.9500007629395","","","","","","","","47.8400001525879","47.5499992370605","47.3499984741211","","","","","","61.2200012207031","","",
"Arab World","ARB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1100006103516","","","","","","","","","","","53.0699996948242","67.120002746582","69.1399993896484","71.5199966430664","","73.4800033569336","74.3899993896484","","",
"Argentina","ARG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2900009155273","","42.1599998474121","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5800018310547","","","","","","","","","90.3963470458984","90.2399978637695","92.0870971679688","92.9916763305664","93.0568771362305","91.8399963378906","","90.0999984741211","94.4654541015625","94.7464752197266","89.879997253418","94.7174606323242","95.5666809082031","","",
"American Samoa","ASM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","36.0699996948242","","","","","","42.0999984741211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.7143630981445","","","",
"Australia","AUS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","21.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.120002746582","65.0299987792969","66.7099990844727","68.1900024414062","70.0899963378906","70.8600006103516","72.8000030517578","74.0599975585938","76.4800033569336","72.0400009155273","73.5999984741211","75.5500030517578","76.4199981689453","77.2600021362305","78.3300018310547","79.0500030517578","80.0500030517578","81.129997253418","81.6699981689453","78.9638366699219","",
