country_code,NY.GDP.PCAP.PP.KD,country_x,SE.SEC.ENRR,country_y,SE.XPD.TOTL.GD.ZS,country,hdi,life_expectancy,education_index,gni_per_capita,unemployment_rate,youth_unemployment,labor_force_participation
,52198.9755412903,High income,104.008239746094,High income,4.88225507736206,High income,,,,,,,
ABW,28521.6888517757,Aruba,132.908020019531,Aruba,4.43504333496094,Aruba,,,,,,,
AFE,3861.06881616553,Africa Eastern and Southern,43.6888198852539,Africa Eastern and Southern,4.35243988037109,Africa Eastern and Southern,,,,,,,
AFG,2769.68574507111,Afghanistan,57.0392990112305,Afghanistan,4.34319019317627,Afghanistan,,,,,,,
AFW,4670.07043100122,Africa Western and Central,45.6518211364746,Africa Western and Central,3.39874076843262,Africa Western and Central,,,,,,,
AGO,7556.96792771976,Angola,53.5814514160156,Angola,2.6674473285675,Angola,,,,,,,
ALB,14662.7955166094,Albania,95.9294509887695,Albania,3.3422999382019,Albania,,,,,,,
AND,55488.4902991095,Andorra,96.4627532958984,Andorra,2.63213038444519,Andorra,,,,,,,
ARB,15717.5789210241,Arab World,69.1489334106445,Arab World,3.86020994186401,Arab World,,,,,,,
ARE,65784.6769384678,United Arab Emirates,83.4686508178711,United Arab Emirates,3.98417997360229,United Arab Emirates,,,,,,,
ARG,23877.0931404855,Argentina,112.416679382324,Argentina,5.27689981460571,Argentina,,,,,,,
ARM,15052.9359791136,Armenia,94.89111328125,Armenia,2.70555996894836,Armenia,,,,,,,
ATG,23930.6714995115,Antigua and Barbuda,120.935958862305,Antigua and Barbuda,2.99340319633484,Antigua and Barbuda,,,,,,,
AUS,57059.7436441324,Australia,137.490737915039,Australia,5.37828016281128,Australia,,,,,,,
AUT,60349.9022781104,Austria,101.690559387207,Austria,5.57126998901367,Austria,,,,,,,
AZE,19126.096851651,Azerbaijan,91.3968963623047,Azerbaijan,4.33204984664917,Azerbaijan,,,,,,,
BDI,833.920257458019,Burundi,46.391471862793,Burundi,5.32158517837524,Burundi,,,,,,,
BEL,57358.8370328069,Belgium,151.727508544922,Belgium,6.80185985565186,Belgium,,,,,,,
BEN,3317.8597222557,Benin,45.7407913208008,Benin,3.09441518783569,Benin,,,,,,,
BFA,2380.93171826574,Burkina Faso,39.4295806884766,Burkina Faso,5.15086507797241,Burkina Faso,,,,,,,
BGD,7015.19792797056,Bangladesh,69.0135708627668,Bangladesh,1.76528060436249,Bangladesh,,,,,,,
BGR,28545.7085283433,Bulgaria,101.354942321777,Bulgaria,4.50513982772827,Bulgaria,,,,,,,
BHR,53814.2452592358,Bahrain,101.02108001709,Bahrain,2.55237460136414,Bahrain,,,,,,,
BHS,26452.525156805,"Bahamas, The",79.0404663085938,"Bahamas, The",3.7900116443634,"Bahamas, The",,,,,,,
BIH,16746.390412009,Bosnia and Herzegovina,85.2992401123047,Bosnia and Herzegovina,3.01954078674316,Bosnia and Herzegovina,,,,,,,
