country,country_code,year,GB.XPD.RSDV.GD.ZS,indicator,indicator_code
Africa Eastern and Southern,AFE,2010,0.586779089135084,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Arab World,ARB,2021,0.695399565966109,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Arab World,ARB,2020,0.698604059410503,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Arab World,ARB,2011,0.554036518146431,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2022,1.31229303795556,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2021,1.32995311888011,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2020,1.30720453090326,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2019,1.24711733498778,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2018,1.19259262527834,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2017,1.08633928885684,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2016,1.02647662177543,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2015,1.14114618160325,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2014,1.09109465925556,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2013,1.06559388784154,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2012,1.05262756158574,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2011,0.953445791521523,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,2010,0.872153072459719,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2020,0.822154338761354,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2019,0.762227760731317,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2018,0.735970234024953,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2017,0.720336868390722,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2016,0.754022621946548,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2015,0.7211629900898,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2013,0.617794560961423,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2012,0.699800685334758,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2011,0.710838619558472,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,2010,0.720453105751719,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2022,2.81669682227672,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2021,2.62627475341279,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2020,2.57666775925072,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2019,2.39258730902083,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2018,2.35290176345267,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2017,2.31331342752948,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2016,2.33681038822311,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2015,2.31934882702178,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2014,2.47015450187359,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2013,2.27434844727343,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2012,2.47897061065516,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2011,2.32519490916715,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific,EAS,2010,2.39353758477303,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2022,2.50800330744281,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2021,2.35197637252219,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2020,2.20114892669527,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2019,2.02767695067135,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2018,1.91555803253784,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2017,1.90349868734841,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2016,1.90649748122971,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2015,1.90812575128433,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2014,1.94307850671844,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2013,1.71175651648278,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2012,1.88122624420231,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2011,1.61625735008275,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (excluding high income),EAP,2010,1.68531091471856,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2022,2.50800330744281,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2021,2.35197637252219,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2020,2.20114892669527,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2019,2.02767695067135,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2018,1.91555803253784,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2017,1.90349868734841,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2016,1.90649748122971,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2015,1.90812575128433,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2014,1.94307850671844,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2013,1.71175651648278,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2012,1.88122624420231,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2011,1.61625735008275,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
East Asia & Pacific (IDA & IBRD countries),TEA,2010,1.68531091471856,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2022,2.27819337576513,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2021,2.29135936603375,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2020,2.32851482846583,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2019,2.25494486128608,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2018,2.21190959164635,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2017,2.17889432289222,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2016,2.13919843472081,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2015,2.13522109991526,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2014,2.14558451243796,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2013,2.11409600202298,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2012,2.09535419122741,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2011,2.03910118640973,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Euro area,EMU,2010,1.99331540561785,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2022,1.96941643815382,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2021,2.18341755813497,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2020,2.19950994048086,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2019,2.13331036599643,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2018,2.07557709655809,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2017,2.03749629245063,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2016,1.98471182119554,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2015,2.00003715867691,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2014,1.92954377445175,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2013,1.80923474898286,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
