country,country_code,year,IP.PAT.RESD,indicator,indicator_code
East Asia & Pacific,EAS,2020,1769228,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2019,1679298,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2018,1828229,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2017,1684097,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2016,1638504,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2015,1403980,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2014,1240339,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2013,1146947,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2012,986823,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2011,857546,"Patent applications, residents",IP.PAT.RESD
East Asia & Pacific,EAS,2010,731535,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2020,215964,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2019,221382,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2018,223725,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2017,222576,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2016,224785,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2015,218330,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2014,221770,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2013,225391,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2012,223012,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2011,222070,"Patent applications, residents",IP.PAT.RESD
Europe & Central Asia,ECS,2010,227012,"Patent applications, residents",IP.PAT.RESD
High income,,2020,870300,"Patent applications, residents",IP.PAT.RESD
High income,,2019,900200,"Patent applications, residents",IP.PAT.RESD
High income,,2018,900300,"Patent applications, residents",IP.PAT.RESD
High income,,2017,911300,"Patent applications, residents",IP.PAT.RESD
High income,,2016,917400,"Patent applications, residents",IP.PAT.RESD
High income,,2015,912900,"Patent applications, residents",IP.PAT.RESD
High income,,2014,912900,"Patent applications, residents",IP.PAT.RESD
High income,,2013,916300,"Patent applications, residents",IP.PAT.RESD
High income,,2012,899800,"Patent applications, residents",IP.PAT.RESD
High income,,2011,868300,"Patent applications, residents",IP.PAT.RESD
High income,,2010,861700,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2020,8385,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2019,8364,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2018,8183,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2017,8651,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2016,8674,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2015,7561,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2014,7455,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2013,7662,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2012,7634,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2011,7230,"Patent applications, residents",IP.PAT.RESD
Latin America & Caribbean,LCN,2010,6390,"Patent applications, residents",IP.PAT.RESD
Low income,,2020,600,"Patent applications, residents",IP.PAT.RESD
Low income,,2019,600,"Patent applications, residents",IP.PAT.RESD
Low income,,2018,800,"Patent applications, residents",IP.PAT.RESD
Low income,,2017,600,"Patent applications, residents",IP.PAT.RESD
Low income,,2016,600,"Patent applications, residents",IP.PAT.RESD
Low income,,2015,700,"Patent applications, residents",IP.PAT.RESD
Low income,,2014,600,"Patent applications, residents",IP.PAT.RESD
Low income,,2013,700,"Patent applications, residents",IP.PAT.RESD
Low income,,2012,9000,"Patent applications, residents",IP.PAT.RESD
Low income,,2011,8500,"Patent applications, residents",IP.PAT.RESD
Low income,,2010,8700,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2020,42400,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2019,41100,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2018,36300,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2017,38800,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2016,35100,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2015,32800,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2014,32400,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2013,28700,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2012,26100,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2011,26200,"Patent applications, residents",IP.PAT.RESD
Lower middle income,,2010,25700,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2020,17557,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2019,17129,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2018,17542,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2017,20397,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2016,19220,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2015,4204,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2014,17323,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2013,14674,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2012,13483,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2011,14379,"Patent applications, residents",IP.PAT.RESD
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2010,13945,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2020,274038,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2019,289351,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2018,289444,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2017,297957,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2016,299405,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2015,292612,"Patent applications, residents",IP.PAT.RESD
